Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Get all Projects,70,1371,297,1729,272.91,0.00%,22.9,260.41,11626.3
Delete all projects,1870,296,230,1309,112.15,0.00%,174.4,146.69,861.1
Create Project A,70,480,456,543,13.66,0.00%,35.3,29.70,861.9
Create Project B,70,480,451,558,23.08,0.00%,35.0,29.45,862.0
Project B as Chlid project A,70,496,451,573,30.73,0.00%,34.9,29.39,863.0
Create Item X,70,520,468,1222,88.05,0.00%,31.9,30.80,989.0
Change priority Task,70,584,454,3578,402.31,0.00%,18.2,17.60,989.0
Create Item Y,70,541,456,3544,362.28,0.00%,18.2,17.56,989.0
Change Due Time,70,493,447,571,29.79,0.00%,18.4,8.95,499.0
Create Item Z,70,527,459,636,38.07,0.00%,18.6,17.95,989.0
Move item,70,549,461,636,31.95,0.00%,18.4,17.80,989.0
Empty Recycle Bin,70,310,236,489,54.77,0.00%,19.9,8.97,461.0
Get all Items project B,70,298,239,1283,120.56,0.00%,20.8,43.21,2131.0
Delete all items,210,255,228,317,19.26,0.00%,55.2,26.49,491.0
Check Recycle Bin folder,70,249,233,311,14.22,0.00%,21.7,10.64,501.0
TOTAL,2990,364,228,3578,224.62,0.00%,159.5,172.18,1105.6
